"id","plataforma","empresa_operadora","categoria","naturaleza_publico_privado","pais_origen_matriz","marco_legal_declarado","datos_personales_recolectados","comparte_datos_terceros","transferencia_internacional_datos","uso_publicitario_perfilamiento","exposicion_publica_contenido_por_defecto","mecanismo_consentimiento","resolucion_disputas","derecho_eliminacion_portabilidad_datos","url_politica_privacidad","fecha_version_politica","fecha_consulta","notas","usa_recomendacion_algoritmica_declarada","posibilidad_opt_out_personalizacion","menciona_ia_generativa","uso_declarado_ia_generativa","version_localizada_chile","gobernanza_moderacion_comportamiento","datos_conductuales_para_personalizacion","regula_trabajo_creadores_o_relacional","menciona_bienestar_o_uso_saludable","url_fuente_adicional","notas_ampliacion"
"1","Facebook e Instagram","Meta Platforms, Inc. (Meta Platforms Ireland Ltd. para usuarios fuera de EE.UU./Canadá)","red_social","privada_transnacional","Estados Unidos","GDPR (UE/EEE); CCPA/leyes estatales de EE.UU.; no menciona Ley 19.628 ni Ley 21.719 de Chile","identificacion; contacto; ubicacion; biometricos; contenido_generado; comportamiento_navegacion; datos_dispositivo","parcial","si","si","configurable","aceptacion_tacita","jurisdiccion_extranjera","si_explicito","https://www.facebook.com/privacy/policy/","Actualización relevante 16-dic-2025 (uso de chats de Meta AI para publicidad); fecha exacta no verificable (bloqueo robots.txt)","2026-09-02","Desde dic-2025 Meta usa contenido de chats con Meta AI para personalizar anuncios, sin opción clara de exclusión total. Resolución de disputas ante tribunales de EE.UU. (Norte de California/San Mateo), no arbitraje forzado.","si","parcial","si","Desde dic-2025 chats con Meta AI alimentan anuncios (sin opt-out); desde jun-2026 los datos de 'actividad en otras empresas' también personalizan el Feed y las respuestas de IA, eliminando el control específico de esa fuente de datos.","no","explicita_y_detallada","si","si","si","https://about.fb.com/news/2026/06/better-personalization-and-changes-to-controls-for-your-activity-from-other-businesses/","Mantiene pestañas 'Feeds' (cronológica) vs 'Home' (algorítmica) e Instagram tiene 'Favoritos'/cronológico y 'Recommendations Reset', pero el opt-out de personalización vía datos de terceros para ads/IA fue eliminado en 2026."
"2","WhatsApp","WhatsApp LLC (Meta Platforms, Inc.); WhatsApp Ireland Ltd. fuera de EE.UU./Canadá","mensajeria","privada_transnacional","Estados Unidos","GDPR (UE/EEE); CCPA (aviso separado California); no menciona leyes chilenas","identificacion; contacto; ubicacion; datos_dispositivo; contenido_generado; comportamiento_navegacion","si","si","parcial","privado_por_defecto","aceptacion_tacita","no_especifica","si_explicito","https://www.whatsapp.com/legal/privacy-policy","4 de enero de 2021 (última actualización mayor confirmada; documento global)","2026-09-02","Mensajes cifrados extremo a extremo, pero se comparte metadata con 'Meta Companies'. La FNE de Chile investigó su actualización de 2021 y archivó el caso en 2025. Sin publicidad dentro de chats; sí en Estados/Canales.","si","no_aplica","si","Meta AI integrado en chats (datos usados para ads en FB/IG desde dic-2025, actualmente excluido en WhatsApp); mayo-2026 lanza 'Incognito Chat' con Meta AI (procesamiento privado, sin guardar conversación); oct-2025 prohíbe chatbots de IA de terceros de propósito general en la API de negocios.","no","mencionada_sin_detalle","no_especifica","si","no","https://blog.whatsapp.com/introducing-incognito-chat-with-meta-ai-a-completely-private-way-to-chat-with-ai","No hay feed de contenido personalizado en chats; solo la pestaña 'Actualizaciones/Canales' tiene descubrimiento algorítmico ('Promoted Channels', jun-2025), con monetización incipiente vía Business Solution Terms."
"3","TikTok","TikTok Pte. Ltd. / TikTok Technology Ltd. (matriz ByteDance Ltd.); entidad EE.UU. reestructurada como 'TikTok USDS Joint Venture LLC' desde ene-2026","red_social","privada_transnacional","China (ByteDance Ltd., con operación dual en Singapur)","GDPR (versión EEE); ley de California rige los ToS; sin mención de leyes chilenas","identificacion; contacto; ubicacion; biometricos; comportamiento_navegacion; contenido_generado; datos_dispositivo","si","si","si","configurable","aceptacion_tacita","arbitraje_privado","parcial","https://www.tiktok.com/legal/page/row/privacy-policy/en","No verificable con certeza (bloqueo robots.txt); versión EEE conocida de 2-nov-2022; versión EE.UU. reformulada vigente desde 22-ene-2026 (no aplica a Chile)","2026-09-02","En 2026 TikTok separó su entidad de EE.UU. (venta forzada, joint venture con Oracle); Chile queda bajo la entidad internacional 'Rest of World'. Arbitraje vinculante en California (condado de Santa Clara) para disputas no arbitrables ante cortes menores.","si","parcial","si","Etiquetado obligatorio de contenido generado por IA (política de 4 niveles); ofrece herramientas de IA generativa para creadores; no se halló declaración explícita de entrenamiento de modelos con datos de usuarios.","no","explicita_y_detallada","si","si","si","https://www.tiktok.com/transparency/en/recommendation-system","La página de soporte declara explícitamente qué señales conductuales alimentan el 'For You' (compras, likes, tiempo visto, búsquedas); existen 'Screen Time'/'Family Pairing'/'Restricted Mode' para todos los usuarios, no solo menores."
"4","X (antes Twitter)","X Corp. (matriz X Holdings Corp.)","red_social","privada_transnacional","Estados Unidos","Declara cumplimiento con DSA (UE), Online Safety Act (UK) y regulaciones australianas; ley de Texas rige el ToS; sin mención de leyes chilenas","identificacion; contacto; ubicacion; biometricos; comportamiento_navegacion; contenido_generado; datos_dispositivo","si","si","si","publico_por_defecto","aceptacion_tacita","jurisdiccion_extranjera","si_explicito","https://x.com/es/privacy","15 de enero de 2026","2026-09-02","Verificación de identidad usa datos biométricos vía proveedor externo AU10TIX, retenidos ~30 días. Publicaciones públicas por defecto salvo cuenta 'protegida'. Renuncia a acciones colectivas; jurisdicción en Texas.","si","parcial","si","Grok (xAI) se entrena con posts públicos e interacciones del usuario en X, con opt-out en Privacidad y seguridad; ToS de ene-2026 amplía 'Contenido' a prompts/inputs/outputs de IA y otorga licencia mundial para entrenar modelos de IA.","parcial","explicita_y_detallada","si","si","no","https://help.x.com/en/using-x/about-grok","Existe versión en español (x.com/es/tos) pero la jurisdicción sigue en Tarrant County, Texas, sin entidad chilena; el programa de reparto de ingresos por ads cierra el 7-sep-2026 y es reemplazado por el 'Original Content Rewards Program' (pago por contenido original, no por impresiones)."
"5","LinkedIn","LinkedIn Corporation (matriz Microsoft Corporation); LinkedIn Ireland Unlimited Company fuera de EE.UU./Canadá","red_social","privada_transnacional","Estados Unidos","GDPR; EU-US Data Privacy Framework; Swiss-US DPF; leyes estatales de EE.UU. (vía Declaración de Privacidad de Microsoft); sin mención de leyes chilenas","identificacion; contacto; ubicacion; comportamiento_navegacion; contenido_generado; datos_dispositivo; datos_laborales","si","si","parcial","configurable","aceptacion_tacita","no_especifica","si_explicito","https://www.linkedin.com/legal/privacy-policy","Actualización relevante 3-nov-2025 (uso de datos de perfil para entrenar IA de Microsoft); fecha exacta no verificable (bloqueo robots.txt)","2026-09-02","Desde nov-2025 LinkedIn usa datos de perfil para entrenar modelos de IA de Microsoft, con opción de exclusión disponible en configuración. Mecanismo exacto de resolución de disputas del User Agreement no verificable por bloqueo de acceso directo.","si","parcial","si","Desde nov-2025 usa datos de perfil para entrenar IA de Microsoft, con opt-out; el feed usa señales de comportamiento (clics, likes, comentarios, tiempo de visualización) vía un sistema de ranking en dos fases.","parcial","explicita_y_detallada","si","si","no","https://engineering.linkedin.com/teams/data/artificial-intelligence/feed","Existe versión en español pero probablemente bajo LinkedIn Ireland, no entidad chilena; Professional Community Policies detalla 5 categorías con moderación en 3 capas; programa de monetización para creadores (BrandLink) es incipiente."
"6","Mercado Libre / Mercado Pago","Mercado Libre Chile Limitada (RUT 77.398.220-1) y Mercado Pago S.A. (RUT 76.516.950-K); matriz MercadoLibre Inc.","ecommerce","privada_transnacional","Argentina (matriz operativa; MercadoLibre Inc. incorporada en Delaware, EE.UU.)","Normativa chilena de protección de la vida privada (Ley 19.628 implícita, sin número explícito) y regulación de cada país donde opera; no menciona Ley 21.719","identificacion; contacto; ubicacion; biometricos; financieros; comportamiento_navegacion; datos_dispositivo; contenido_generado","si","si","si","configurable","opt_in","tribunales_chile","si_explicito","https://www.mercadolibre.cl/privacidad/declaracion-privacidad/31199","31 de agosto de 2021 (fecha mostrada en el anexo consultado)","2026-09-02","Declara uso de IA/machine learning/big data para perfilamiento y decisiones automatizadas (con derecho a revisión). Reputación/calificaciones del vendedor son públicas por defecto aunque el resto del perfil es configurable. La fecha de 'última actualización' visible (2021) parece desactualizada para septiembre 2026; no se confirmó una fecha más reciente (bloqueo robots.txt).","si","parcial","si","Buscador con IA generativa (Vertex AI de Google) que interpreta la intención del usuario y personaliza resultados según historial de compra; no aparece mencionado en la Declaración de Privacidad vigente.","si","mencionada_sin_detalle","si","si","no","https://www.mercadopago.cl/privacidad/declaracion-privacidad/current","'Programa de Afiliados y Creadores' activo en Chile permite monetizar recomendaciones de productos vía comisión — nueva capa 'creator economy' sobre el marketplace; no hay opt-out claro del motor de recomendación en sí."
"7","Falabella.com (Falabella Retail)","Falabella.com SpA (RUT 76.212.492-0) / Falabella Retail S.A.; comparte 'Habeas Data' corporativo con Banco Falabella, CMR, Sodimac, Tottus e Ikea Chile","ecommerce","privada_nacional","Chile (S.A.C.I. Falabella)","'Normas que regulan la protección de la vida privada' (Ley 19.628 implícita, sin número explícito); no menciona Ley 21.719","identificacion; contacto; financieros; biometricos; ubicacion; comportamiento_navegacion; datos_dispositivo","si","no_especifica","si","no_aplica","aceptacion_tacita","no_especifica","si_explicito","https://www.falabella.com/falabella-cl/page/politica-privacidad-falabella-retail","28 de febrero de 2023 (según metadatos); documento protocolizado notarialmente el 14-12-2021","2026-09-02","Comparte datos entre empresas del grupo Falabella (incluida su tarjeta CMR / Banco Falabella) bajo un esquema de 'Habeas Data' corporativo compartido. No se verificó con fuente directa el mecanismo de resolución de disputas ni el detalle completo de transferencias internacionales (solo se mencionan operaciones regionales en Chile, Perú y Colombia).","si","parcial","si","Proveedor externo (Adereso) con 'suite de IA Generativa' automatiza atención al cliente (caso de terceros, no confirmado en T&C propios); campaña educativa promueve herramientas de IA de terceros, no declara IA propia.","si","explicita_y_detallada","si","si","no","https://sellercenter.falabella.com/templates/default/files/terminos_y_condiciones_marketplace_falabella.pdf","T&C de Marketplace detallan prohibiciones específicas para vendedores (falsear reseñas) con sanciones hasta eliminación. Programa 'Creators F' (2025) para creadores de contenido que monetizan recomendaciones — sin T&C públicos detallados verificables."
"8","Uber / Uber Eats","Nivel local (T&C Chile): Uber Rides Chile SpA y Uber Portier Chile SpA; controlador de datos global: Uber Technologies, Inc. / Uber B.V.","delivery","privada_transnacional","Estados Unidos","T&C Chile: legislación chilena, tribunales de Santiago. Aviso de privacidad global: RGPD (UE/EEE/Reino Unido/Suiza), LGPD (Brasil), KVKK (Turquía), CCPA (California); no cita Ley 19.628 ni Ley 21.719 de Chile","identificacion; contacto; ubicacion; biometricos; financieros; comportamiento_navegacion; datos_dispositivo; contenido_generado","si","si","no_aplica","no_aplica","aceptacion_tacita","tribunales_chile","si_explicito","https://www.uber.com/global/es/privacy/notice/","Aviso de privacidad: 13 de julio de 2026; Términos de Uso Chile: 12 de agosto de 2026","2026-09-02","Cubre viajes (Uber) y reparto de comida (Uber Eats) bajo el mismo aviso de privacidad global; los T&C sí tienen versión localizada para Chile con jurisdicción en tribunales de Santiago. Comparte datos con socios de marketing (Meta, TikTok, Google) y procesadores de pago internacionales; certificada bajo el Marco de Privacidad de Datos UE-EE.UU.","si","si","si","El Aviso de privacidad de conductores y repartidores declara explícitamente: 'Uber may use GenAI tools for customer support'.","si","explicita_y_detallada","si","si","si","https://www.uber.com/global/en/privacy-notice-drivers-delivery-people/","Guías Comunitarias (versión Chile) detallan tres pilares de conducta y derecho a apelar desactivación; el Aviso de privacidad describe uso de patrones de conducción 'atípicos' para acciones automatizadas, incluida desactivación de cuenta."
"9","Rappi","Rappi Chile SpA (RUT 76.837.223-3); matriz Rappi S.A.S., de origen colombiano","delivery","privada_transnacional","Colombia","Ley N°19.628 sobre Protección de la Vida Privada; Ley N°19.496 (protección al consumidor); Art. 28 B (anti-spam); no menciona Ley 21.719 ni la nueva Agencia de Protección de Datos","identificacion; contacto; ubicacion; financieros; comportamiento_navegacion; datos_dispositivo; contenido_generado","si","si","no_aplica","no_aplica","opt_in","tribunales_chile","si_explicito","https://legal.rappi.com/chile/politica-de-privacidad/","no_especifica (no se encontró fecha de última actualización en el documento)","2026-09-02","Única de las 4 plataformas de e-commerce/delivery que cita explícitamente el número de ley chilena vigente (Ley 19.628) y el tribunal competente ('Juez de letras en lo civil de Santiago'). Comparte datos con Itaú Corpbanca (RappiPay/RappiBank), Amplitude (analítica) y Jumio (verificación de identidad); ofrece plazo de 2 días hábiles para solicitudes de eliminación de datos.","si","parcial","si","Asistente conversacional de IA vía WhatsApp para pedidos; IA que aprende 'de los gustos y hábitos de los usuarios' para ofertas personalizadas; 'Recomendaciones de Menú con IA' para restaurantes (B2B). No confirmado en Política de Privacidad ni T&C de Chile.","si","mencionada_sin_detalle","si","si","no","https://legal.rappi.com.co/chile/politica-de-privacidad/","Permite excluirse de listas promocionales ('No Molestar', Ley 19.496), pero no hay opt-out explícito del motor de recomendación. Sistema de calificación 1-5 para repartidores; no se pudo verificar el T&C específico 'Soy Rappi' para Chile."
"10","Banco Santander Chile","Banco Santander Chile (filial de Banco Santander S.A., España)","banca","privada_transnacional","España","Ley N°19.628; Ley N°20.009; Capítulo 20-7 normativa CMF; Art. 154 Ley General de Bancos (secreto bancario)","identificacion; contacto; ubicacion; biometricos; financieros; comportamiento_navegacion; datos_dispositivo","si","si","no_aplica","no_aplica","opt_in","tribunales_chile","parcial","https://banco.santander.cl/personas/politica-de-privacidad-portal-santander","no_especifica","2026-09-02","Constituido como banco establecido en Chile pero de control accionario español, por eso se clasifica como transnacional; comparte datos con empresas del grupo Santander a nivel mundial; no se verificó mención explícita a DICOM/Boletín Comercial ni a la Ley 21.719 en el texto consultado.","si","parcial","si","Grupo Santander anunció alianza con OpenAI (ago-2025, nivel global); en Chile opera desde 2021 el asistente conversacional 'Santi' (WhatsApp/web), sin confirmación pública de IA generativa específica en la operación chilena.","si","no_menciona","si","no_aplica","si","https://saladecomunicacion.santander.cl/opinion/carmen-gloria-silva/detalles/finanzas-saludables-el-viaje-hacia-el-bienestar-comienza-en-la-infancia","Política de privacidad cita elaboración de 'perfil de usuario aplicando o no modelos predictivos'; el opt-out solo cubre comunicaciones comerciales, no el perfilamiento general. 'Santi' es marca de chatbot compartida por el Grupo Santander en varios países."
